edad-media,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, n
edad-media,  Local-gov,  HS-grad,  Widowed,  Protective-serv,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  ?,  Some-college,  Divorced,  ?,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  ?,  5th-6th,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, tiempo-completo, nacional, y
adulto,  Self-emp-not-inc,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Divorced,  Sales,  Not-in-family,  White,  Female, si, si, tiempo-completo, extranjero, n
joven,  Private,  10th,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  State-gov,  HS-grad,  Separated,  Other-service,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Female, si, si, medio-tiempo, nacional, n
joven,  Private,  7th-8th,  Never-married,  Craft-repair,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  11th,  Never-married,  Transport-moving,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
joven,  State-gov,  Bachelors,  Never-married,  Tech-support,  Not-in-family,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Separated,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Bachelors,  Separated,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  Wife,  Black,  Female, si, si, excesivo, nacional, y
adulto,  Private,  7th-8th,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, extranjero, y
edad-media,  Private,  7th-8th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Divorced,  Prof-specialty,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Tech-support,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Never-married,  Tech-support,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, no, excesivo, nacional, y
adulto,  Private,  7th-8th,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Assoc-voc,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Federal-gov,  Some-college,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-not-inc,  Masters,  Divorced,  Sales,  Not-in-family,  White,  Male, si, si, medio-tiempo, nacional, n
adulto,  Local-gov,  HS-grad,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Bachelors,  Married-civ-spouse,  Adm-clerical,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
edad-media,  Private,  Bachelors,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  State-gov,  Some-college,  Never-married,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Doctorate,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Federal-gov,  Some-college,  Never-married,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-voc,  Separated,  Other-service,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Other-service,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Local-gov,  Bachelors,  Never-married,  Exec-managerial,  Unmarried,  Asian-Pac-Islander,  Male, si, no, excesivo, extranjero, n
edad-media,  Private,  HS-grad,  Never-married,  Transport-moving,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Craft-repair,  Other-relative,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Assoc-voc,  Never-married,  Exec-managerial,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  12th,  Never-married,  Machine-op-inspct,  Own-child,  White,  Male, si, si, medio-tiempo, extranjero, n
edad-media,  Local-gov,  HS-grad,  Never-married,  Transport-moving,  Unmarried,  Black,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Assoc-voc,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Sales,  Own-child,  White,  Female, si, no, medio-tiempo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, no, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Widowed,  Other-service,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  10th,  Never-married,  Sales,  Other-relative,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Local-gov,  Prof-school,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  State-gov,  Some-college,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
joven,  ?,  11th,  Never-married,  ?,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, extranjero, y
edad-media,  Local-gov,  Bachelors,  Never-married,  Prof-specialty,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Doctorate,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
joven,  Private,  Bachelors,  Never-married,  Sales,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
edad-media,  Local-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, tiempo-completo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Protective-serv,  Other-relative,  Black,  Female, si, si, tiempo-completo, extranjero, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Own-child,  White,  Female, si, no, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
joven,  ?,  11th,  Never-married,  ?,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Divorced,  Craft-repair,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  Assoc-voc,  Never-married,  Machine-op-inspct,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Self-emp-not-inc,  HS-grad,  Never-married,  Craft-repair,  Other-relative,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Bachelors,  Divorced,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Separated,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Divorced,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Separated,  Sales,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Tech-support,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
anciano,  Private,  Some-college,  Never-married,  Other-service,  Not-in-family,  Asian-Pac-Islander,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Other-service,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, no, si, excesivo, nacional, y
adulto,  State-gov,  HS-grad,  Widowed,  Adm-clerical,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
adulto,  Private,  7th-8th,  Widowed,  Transport-moving,  Not-in-family,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Some-college,  Married-spouse-absent,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Local-gov,  Assoc-acdm,  Never-married,  Adm-clerical,  Own-child,  Amer-Indian-Eskimo,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Widowed,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  State-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
anciano,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Some-college,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  HS-grad,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  Asian-Pac-Islander,  Male, si, si, medio-tiempo, extranjero, n
adulto,  Federal-gov,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  Some-college,  Widowed,  Craft-repair,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
edad-media,  ?,  Bachelors,  Married-spouse-absent,  ?,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Private,  11th,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Federal-gov,  Some-college,  Married-civ-spouse,  Exec-managerial,  Wife,  Asian-Pac-Islander,  Female, si, no, excesivo, extranjero, y
edad-media,  Private,  Assoc-voc,  Divorced,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Self-emp-not-inc,  11th,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  11th,  Separated,  Transport-moving,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, no, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Private,  11th,  Married-spouse-absent,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
joven,  Private,  10th,  Never-married,  Transport-moving,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Tech-support,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
edad-media,  ?,  Some-college,  Divorced,  ?,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, extranjero, n
joven,  Self-emp-not-inc,  HS-grad,  Never-married,  Farming-fishing,  Not-in-family,  White,  Male, si, si, tiempo-completo, extranjero, n
joven,  Private,  11th,  Never-married,  Other-service,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Assoc-voc,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  9th,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, no, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  12th,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Federal-gov,  Some-college,  Never-married,  Exec-managerial,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Divorced,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Not-in-family,  White,  Female, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, extranjero, n
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
joven,  ?,  Some-college,  Separated,  ?,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, nacional, y
anciano,  ?,  11th,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, no, medio-tiempo, nacional, n
joven,  ?,  10th,  Never-married,  ?,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Transport-moving,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Separated,  Other-service,  Not-in-family,  Black,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Assoc-voc,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  Masters,  Separated,  Prof-specialty,  Not-in-family,  White,  Female, no, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  9th,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, no, si, excesivo, extranjero, n
edad-media,  State-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Local-gov,  Bachelors,  Separated,  Prof-specialty,  Not-in-family,  White,  Male, si, si, tiempo-completo, extranjero, n
anciano,  ?,  9th,  Married-civ-spouse,  ?,  Husband,  White,  Male, no, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Private,  Doctorate,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
joven,  Private,  HS-grad,  Divorced,  Sales,  Not-in-family,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  Black,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, extranjero, y
edad-media,  Private,  Some-college,  Separated,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Exec-managerial,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
joven,  ?,  Some-college,  Never-married,  ?,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  11th,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  ?,  HS-grad,  Never-married,  ?,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
adulto,  Private,  7th-8th,  Married-spouse-absent,  Other-service,  Unmarried,  Amer-Indian-Eskimo,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Exec-managerial,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
adulto,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  7th-8th,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Bachelors,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, extranjero, y
joven,  Private,  Bachelors,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, no, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Sales,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  12th,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
adulto,  Private,  Masters,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, no, excesivo, nacional, y
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Sales,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  State-gov,  Some-college,  Never-married,  Adm-clerical,  Not-in-family,  Black,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Own-child,  Amer-Indian-Eskimo,  Male, si, si, excesivo, nacional, n
anciano,  Private,  7th-8th,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  11th,  Married-civ-spouse,  Other-service,  Wife,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Other-service,  Own-child,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  10th,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Local-gov,  Some-college,  Divorced,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Exec-managerial,  Own-child,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, n
adulto,  Private,  Some-college,  Never-married,  Farming-fishing,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Divorced,  Exec-managerial,  Unmarried,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Local-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-not-inc,  9th,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
joven,  Private,  Some-college,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  12th,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
anciano,  ?,  Bachelors,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, no, excesivo, nacional, y
anciano,  Private,  HS-grad,  Widowed,  Adm-clerical,  Not-in-family,  White,  Female, si, no, tiempo-completo, nacional, n
edad-media,  Private,  11th,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Self-emp-not-inc,  Bachelors,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  9th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, no, tiempo-completo, extranjero, y
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, no, si, excesivo, nacional, y
adulto,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Prof-school,  Married-civ-spouse,  Sales,  Husband,  Asian-Pac-Islander,  Male, si, si, tiempo-completo, extranjero, n
